"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6672","Bug with filter by price on product page","chromium","Tue Sep 23 01:44:41 UTC 2025","passed","Tue Sep 23 01:44:47 UTC 2025","","academybugs.test.js","",""
"","7358","Bug with the grand total is $100 more","chromium","Tue Sep 23 01:45:12 UTC 2025","passed","Tue Sep 23 01:45:19 UTC 2025","","academybugs.test.js","",""
"","6437","Bug with hot Item section keeps loading","chromium","Tue Sep 23 01:45:05 UTC 2025","passed","Tue Sep 23 01:45:12 UTC 2025","","academybugs.test.js","",""
"","5506","Bug with discription on product page","chromium","Tue Sep 23 01:44:47 UTC 2025","passed","Tue Sep 23 01:44:53 UTC 2025","","academybugs.test.js","",""
"","30033","Bug with the product quantity cannot be increased past 2","chromium","Tue Sep 23 01:46:21 UTC 2025","broken","Tue Sep 23 01:46:51 UTC 2025","","academybugs.test.js","",""
"","12599","Bug with changing the currency","chromium","Tue Sep 23 01:44:53 UTC 2025","passed","Tue Sep 23 01:45:05 UTC 2025","","academybugs.test.js","",""
"","13536","Bug with pagination on main page","chromium","Tue Sep 23 01:44:27 UTC 2025","passed","Tue Sep 23 01:44:40 UTC 2025","","academybugs.test.js","",""
