"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23628","Bug with discription on product page","chromium","Fri Jun 13 01:57:09 GMT 2025","passed","Fri Jun 13 01:57:33 GMT 2025","","academybugs.test.js","",""
"","5624","Bug with hot Item section keeps loading","chromium","Fri Jun 13 01:57:45 GMT 2025","passed","Fri Jun 13 01:57:50 GMT 2025","","academybugs.test.js","",""
"","6178","Bug with filter by price on product page","chromium","Fri Jun 13 01:57:03 GMT 2025","passed","Fri Jun 13 01:57:09 GMT 2025","","academybugs.test.js","",""
"","12094","Bug with changing the currency","chromium","Fri Jun 13 01:57:33 GMT 2025","passed","Fri Jun 13 01:57:45 GMT 2025","","academybugs.test.js","",""
"","6695","Bug with the grand total is $100 more","chromium","Fri Jun 13 01:57:50 GMT 2025","passed","Fri Jun 13 01:57:57 GMT 2025","","academybugs.test.js","",""
"","12154","Bug with pagination on main page","chromium","Fri Jun 13 01:56:50 GMT 2025","passed","Fri Jun 13 01:57:03 GMT 2025","","academybugs.test.js","",""
"","8497","Bug with the product quantity cannot be increased past 2","chromium","Fri Jun 13 01:57:57 GMT 2025","passed","Fri Jun 13 01:58:06 GMT 2025","","academybugs.test.js","",""
