"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5373","Bug with filter by price on product page","chromium","Thu Dec 25 02:01:45 UTC 2025","passed","Thu Dec 25 02:01:50 UTC 2025","","academybugs.test.js","",""
"","11264","Bug with changing the currency","chromium","Thu Dec 25 02:01:54 UTC 2025","passed","Thu Dec 25 02:02:06 UTC 2025","","academybugs.test.js","",""
"","3973","Bug with discription on product page","chromium","Thu Dec 25 02:01:50 UTC 2025","passed","Thu Dec 25 02:01:54 UTC 2025","","academybugs.test.js","",""
"","11754","Bug with pagination on main page","chromium","Thu Dec 25 02:01:33 UTC 2025","passed","Thu Dec 25 02:01:45 UTC 2025","","academybugs.test.js","",""
"","30025","Bug with the product quantity cannot be increased past 2","chromium","Thu Dec 25 02:03:17 UTC 2025","broken","Thu Dec 25 02:03:47 UTC 2025","","academybugs.test.js","",""
"","4585","Bug with hot Item section keeps loading","chromium","Thu Dec 25 02:02:06 UTC 2025","passed","Thu Dec 25 02:02:10 UTC 2025","","academybugs.test.js","",""
"","5267","Bug with the grand total is $100 more","chromium","Thu Dec 25 02:02:10 UTC 2025","passed","Thu Dec 25 02:02:15 UTC 2025","","academybugs.test.js","",""
